school_support,parent_engagement,study_time_weekly,absences,midterm_score,final_outcome
no,Low,17,1,80,1
,Low,24,24,77,1
no,Medium,11,1,30,1
no,Medium,19,14,36,1
no,Medium,7,4,82,1
no,High,20,2,60,1
no,Medium,5,25,47,0
no,Low,14,5,41,1
,Medium,15,12,77,1
no,Low,4,2,59,1
no,Medium,11,13,36,0
no,Medium,7,4,32,1
no,Medium,2,4,92,1
no,Medium,24,10,35,1
yes,Medium,15,16,44,1
no,High,9,8,72,1
no,Medium,20,6,47,1
no,High,15,1,51,1
no,Medium,11,7,90,1
yes,Medium,18,1,90,1
yes,Medium,10,8,82,1
,nan,7,5,55,1
no,Medium,12,27,69,0
no,Medium,8,7,37,1
no,Medium,18,1,50,1
yes,Medium,2,1,72,1
no,High,23,10,50,1
no,High,6,11,32,0
yes,High,10,3,60,1
no,Medium,19,1,56,1
no,High,22,1,56,1
no,High,3,6,86,1
no,High,12,3,62,1
no,nan,7,24,73,1
yes,High,9,3,72,1
,Medium,5,12,60,1
no,High,19,2,94,1
no,Medium,12,12,46,1
no,High,6,19,44,0
no,High,16,14,63,1
no,Medium,19,7,33,1
no,High,3,28,57,0
yes,High,23,8,31,1
yes,High,12,0,46,1
yes,High,14,3,87,1
no,High,5,14,38,0
no,High,23,6,60,1
yes,Low,8,6,95,1
,Medium,12,8,91,1
no,Medium,23,9,48,1
no,High,5,1,84,1
,Low,16,16,57,1
yes,Medium,2,17,79,1
no,High,24,17,94,1
no,Medium,4,7,32,1
no,High,15,9,81,1
yes,High,7,31,39,0
no,Medium,19,4,50,1
yes,Low,2,29,66,0
yes,Medium,7,13,44,1
no,Medium,7,13,38,0
no,nan,22,8,73,1
no,High,17,10,68,1
yes,High,6,13,34,0
no,Medium,18,1,54,1
no,Medium,11,5,85,1
yes,Medium,22,10,93,1
no,Low,19,3,81,1
,Medium,8,13,38,0
no,Medium,4,9,39,1
no,High,14,7,39,1
no,Low,16,7,91,1
no,nan,21,0,89,1
yes,Low,20,7,48,1
no,High,4,7,67,1
no,Medium,5,10,35,0
no,High,6,6,44,1
no,High,2,5,76,1
no,High,5,8,74,1
yes,Medium,13,4,34,1
yes,Medium,11,16,82,1
no,High,24,8,95,1
yes,Medium,22,17,91,1
no,Medium,21,15,52,1
no,High,14,5,73,1
no,High,24,8,81,1
no,Medium,15,8,75,1
no,Medium,24,5,48,1
no,High,6,7,76,1
no,High,5,4,81,1
no,High,15,9,53,1
no,Low,11,8,46,1
no,Medium,18,2,75,1
no,Medium,11,9,93,1
no,High,8,4,57,1
no,Medium,17,3,79,1
no,High,2,3,93,1
no,Medium,18,6,57,1
no,Low,22,4,85,1
no,Medium,10,1,88,1
no,Low,7,9,34,1
no,Medium,20,7,83,1
no,High,14,37,73,0
yes,Low,4,13,71,1
no,High,8,6,86,1
no,Medium,23,5,76,1
yes,High,10,5,54,1
no,High,23,12,73,1
yes,Medium,6,7,44,1
no,High,11,5,80,1
no,Medium,24,3,82,1
yes,Medium,18,6,63,1
no,High,13,3,37,1
no,High,24,9,99,1
no,Medium,17,3,50,1
yes,High,4,6,36,1
no,Medium,23,13,85,1
no,Medium,10,6,78,1
,Low,16,2,71,1
no,Medium,6,3,52,1
no,Medium,24,10,81,1
no,Medium,14,4,82,1
no,High,15,15,45,1
no,High,21,0,66,1
yes,Low,16,2,47,1
no,Medium,17,13,49,1
no,Low,24,7,75,1
,Low,14,5,31,1
no,Low,18,3,92,1
no,Low,24,0,32,1
no,Medium,9,9,75,1
yes,High,22,3,78,1
no,Medium,3,6,30,1
no,High,6,9,51,1
yes,Medium,7,14,43,0
no,Medium,13,7,74,1
no,Medium,19,6,35,1
yes,High,23,6,94,1
no,High,23,24,50,1
no,Medium,2,4,33,1
no,High,18,18,32,0
yes,Low,12,12,59,1
no,High,11,4,60,1
,High,20,10,63,1
,High,15,4,49,1
no,Medium,11,7,83,1
yes,Medium,16,24,54,0
